name;zip;kpi;Month 1;Month 2;delivery service
Mampf;8020;# Commissionable Orders;699.0;822.0;deliverando
Mampf;8020;Avg Basket Size €;22.5;23.33;deliverando
Mampf;8020;# Negative Comments;3.0;4.0;deliverando
Mampf;8020;# Positive Comments;1.0;1.0;deliverando
Mampf;8020;% Kill Rate;52;46;deliverando
Mampf;8020;Avg Time to Accept (s);17.0;15.0;deliverando
Dolce Vita;8020;# Commissionable Orders;1178.0;1353.0;deliverando
Dolce Vita;8020;Avg Basket Size €;19.12;19.95;deliverando
Dolce Vita;8020;# Negative Comments;0.0;3.0;deliverando
Dolce Vita;8020;# Positive Comments;1.0;1.0;deliverando
Dolce Vita;8020;% Kill Rate;0.06;57;deliverando
Dolce Vita;8020;Avg Time to Accept (s);9.0;9.0;deliverando
China Restaurant Mond;8010;# Commissionable Orders;230.0;375.0;deliverando
China Restaurant Mond;8010;Avg Basket Size €;23.82;24.73;deliverando
China Restaurant Mond;8010;# Negative Comments;1.0;0.0;deliverando
China Restaurant Mond;8010;# Positive Comments;1.0;1.0;deliverando
China Restaurant Mond;8010;% Kill Rate;54;112;deliverando
China Restaurant Mond;8010;Avg Time to Accept (s);19.0;20.0;deliverando
Royal;8020;# Commissionable Orders;692.0;734.0;deliverando
Royal;8020;Avg Basket Size €;24.6;25.68;deliverando
Royal;8020;# Negative Comments;3.0;8.0;deliverando
Royal;8020;# Positive Comments;1.0;1.0;deliverando
Royal;8020;% Kill Rate;77;73;deliverando
Royal;8020;Avg Time to Accept (s);27.0;28.0;deliverando
Xpress;8020;# Commissionable Orders;365.0;410.0;deliverando
Xpress;8020;Avg Basket Size €;24.13;24.18;deliverando
Xpress;8020;# Negative Comments;2.0;0.0;deliverando
Xpress;8020;# Positive Comments;1.0;1.0;deliverando
Xpress;8020;% Kill Rate;39;44;deliverando
Xpress;8020;Avg Time to Accept (s);20.0;18.0;deliverando
Goldene Schwalbe - Chinarestaurant;8020;# Commissionable Orders;106.0;120.0;deliverando
Goldene Schwalbe - Chinarestaurant;8020;Avg Basket Size €;25.02;27.79;deliverando
Goldene Schwalbe - Chinarestaurant;8020;# Negative Comments;1.0;0.0;deliverando
Goldene Schwalbe - Chinarestaurant;8020;# Positive Comments;1.0;1.0;deliverando
Goldene Schwalbe - Chinarestaurant;8020;% Kill Rate;0.1;85;deliverando
Goldene Schwalbe - Chinarestaurant;8020;Avg Time to Accept (s);34.0;31.0;deliverando
Road Burger - Pizza Taxi 2600;8053;# Commissionable Orders;746.0;835.0;deliverando
Road Burger - Pizza Taxi 2600;8053;Avg Basket Size €;26.34;28.07;deliverando
Road Burger - Pizza Taxi 2600;8053;# Negative Comments;0.0;4.0;deliverando
Road Burger - Pizza Taxi 2600;8053;# Positive Comments;1.0;1.0;deliverando
Road Burger - Pizza Taxi 2600;8053;% Kill Rate;54;51;deliverando
Road Burger - Pizza Taxi 2600;8053;Avg Time to Accept (s);21.0;24.0;deliverando
Pizzeria Mama Rosa;8051;# Commissionable Orders;336.0;362.0;deliverando
Pizzeria Mama Rosa;8051;Avg Basket Size €;17.46;18.67;deliverando
Pizzeria Mama Rosa;8051;# Negative Comments;9.0;9.0;deliverando
Pizzeria Mama Rosa;8051;# Positive Comments;1.0;1.0;deliverando
Pizzeria Mama Rosa;8051;% Kill Rate;75;81;deliverando
